article,word,tf,idf,tfidf,count,pos,ngd功效,ngd品牌,rank_page
4,醫學,0.00833333,3.31596597,0.02763305,5,n,0.5181746,0.42146557,1
4,專家,0.00666667,3.12065739,0.02080438,4,n,0.50425162,0.27044765,1
4,癌症,0.00666667,3.17876497,0.02119177,4,n,0.66454141,0.6212784,1
5,挑選,0.00459619,3.27749972,0.01506402,7,v,0.76454972,0.53461193,1
5,淨美莓,0.0026264,8.39964743,0.02206079,4,n,0.75967748,0.64451449,1
5,益生菌推薦,0.00525279,5.48992604,0.02883743,8,n,0.58073834,0.52897652,1
5,代謝,0.00656599,3.39658065,0.02230191,10,v,0.5857974,0.66876778,1
5,保養,0.00722259,2.2814572,0.01647802,11,v,0.62628102,0.38048539,1
5,順暢,0.00853578,3.34380074,0.02854196,13,a,0.84710141,0.6091188,1
5,機能,0.01641497,2.67308109,0.04387855,25,n,1.29549394,1.0645744,1
5,調整,0.00787919,3.05058988,0.02403616,12,v,1.0045345,0.52545118,1
5,體質,0.00787919,3.4235074,0.02697445,12,n,0.58860421,0.61001802,1
5,第四代,0.00328299,5.33086262,0.01750119,5,m,1.10551394,0.51063167,1
5,身心,0.00590939,3.65322243,0.02158831,9,n,0.63026657,0.58299135,1
5,菌株,0.02626395,3.82027627,0.10033556,40,n,0.85506431,0.84921757,1
5,選擇,0.00853578,1.82064212,0.01554061,13,v,0.50858354,0.43207655,1
5,菌種,0.00656599,4.77968881,0.03138338,10,n,0.58534033,0.52848974,1
5,PS128,0.00722259,6.73793743,0.04866534,11,eng,0.98052881,0.86392307,1
5,植物乳桿菌,0.00525279,6.72599734,0.03533026,8,n,0.82013534,0.61038152,1
5,機能性,0.00328299,4.96031605,0.01628469,5,n,1.40906945,1.19469909,1
5,K21,0.00656599,8.11398448,0.05327633,10,eng,1.32439819,1.05144646,1
5,幫助,0.00984898,2.38025775,0.02344312,15,v,0.47871527,0.24520063,1
5,專利,0.00590939,3.12065739,0.01844118,9,n,0.8390589,0.59322492,1
5,陳代謝,0.0026264,8.41398802,0.02209846,4,n,0.52230163,0.54124855,1
5,Lactobacillus,0.01904137,5.13757332,0.09782641,29,n,1.16631844,1.12692184,1
5,plantarum,0.00525279,6.21281256,0.0326346,8,eng,1.25798831,1.13789399,1
5,副乾酪乳桿菌,0.0026264,6.80628488,0.01787599,4,n,0.75329395,0.761625,1
5,paracasei,0.00525279,6.5748226,0.03453617,8,eng,1.03607203,1.00376454,1
5,PS23,0.00393959,8.1589714,0.03214303,6,eng,1.16818503,1.00363753,1
5,K47,0.00393959,9.20643342,0.0362696,6,eng,1.48064973,1.11477364,1
5,鼠李糖乳桿菌,0.00393959,6.39123062,0.02517885,6,n,0.93234622,0.62468471,1
5,rhamnosus,0.00393959,6.22892721,0.02453944,6,eng,1.19733502,1.13083389,1
5,CRL1505,0.00393959,8.2903554,0.03266063,6,eng,1.01204274,0.85174387,1
5,lactis,0.0026264,6.33951386,0.01665007,4,eng,1.22588838,1.13793881,1
5,A17,0.00328299,7.3096148,0.02399742,5,eng,1.2226629,1.01294383,1
5,KM97,0.00328299,10.3247349,0.03389604,5,eng,1.5246015,1.40243871,1
5,益生質,0.00656599,6.34964545,0.0416917,10,n,0.71621775,0.62623087,1
5,胃酸,0.00525279,3.81865421,0.02005859,8,n,0.69298344,0.8003059,1
5,膽鹽,0.00590939,6.74698699,0.03987057,9,n,0.70974057,0.71098719,1
5,粉劑,0.00525279,5.28769076,0.02777513,8,n,0.75751119,0.66713018,1
5,主菌種,0.00328299,10.5205967,0.03453906,5,n,0.69513896,0.58949662,1
5,輔料,0.00590939,6.72896903,0.0397641,9,n,0.67550822,0.61971069,1
5,異麥,0.0026264,6.55963282,0.01722819,4,n,0.6983595,0.61645054,1
5,族群,0.00459619,3.61284015,0.01660531,7,n,0.90236854,0.62803693,1
5,耐酸,0.0026264,5.93405547,0.01558518,4,n,0.85176584,0.68211267,1
6,防護力,0.00674764,6.08306489,0.04104632,5,n,0.78352776,0.58557335,1
6,體溫,0.00944669,3.74825779,0.03540864,7,n,0.90990796,0.79166574,1
6,迷思,0.00674764,4.8363486,0.03263393,5,v,0.81375805,0.62370842,1
6,好菌,0.01619433,4.08231542,0.06611037,12,n,0.65906116,0.58966176,1
6,重要性,0.00674764,3.7727238,0.02545698,5,n,0.8559793,0.46806434,1
6,孕期,0.01214575,2.32053853,0.02818468,9,t,0.70425595,0.60954585,1
6,吃益生菌,0.00674764,3.79305285,0.02559415,5,n,0.63657038,0.57952189,1
6,依賴,0.00674764,4.64509919,0.03134345,5,v,0.62646282,0.44629741,1
6,繁體,0.00539811,3.94273723,0.02128333,4,a,1.29344596,0.7692234,1
6,product,0.00944669,3.21355106,0.03035743,7,eng,1.78352992,1.36603082,1
6,稱為,0.00539811,4.30072286,0.02321578,4,v,0.81762926,0.4488953,1
6,腸道,0.00674764,3.4072645,0.02299099,5,n,0.64503133,0.45462099,1
6,飲食,0.00944669,2.34995241,0.02219928,7,n,0.70565202,0.63204126,1
6,亞硝胺,0.00539811,7.56930724,0.04085996,4,n,0.78953536,0.80259187,1
7,條目,0.00541126,8.1589714,0.04415028,5,n,1.04727408,0.71142146,1
7,Probiotics,0.00865801,4.45662441,0.03858549,8,eng,1.09440429,1.06043006,1
7,腸道,0.00865801,3.4072645,0.02950013,8,n,0.64503133,0.45462099,1
7,細菌,0.004329,3.561415,0.01541738,4,n,0.62647355,0.55227969,1
7,酸奶,0.01190476,2.21083965,0.02631952,11,n,0.73219452,0.61842051,1
7,羊奶,0.00541126,4.04911742,0.02191081,5,n,0.55391229,0.43124175,1
7,球菌,0.00757576,4.04301365,0.03062889,7,n,0.78772974,0.72728781,1
7,Lactobacillus,0.004329,5.13757332,0.02224058,4,n,1.16631844,1.12692184,1
7,Bifidobacterium,0.004329,5.77073244,0.02498153,4,n,1.12472033,1.05721647,1
7,EFSA,0.00541126,7.81863364,0.04230862,5,eng,1.24764485,1.16233559,1
9,吃益生菌,0.01713586,3.79305285,0.06499723,14,n,0.63657038,0.57952189,2
